,Year,LGA,Numerator,Denominator,Indicator,area,latitude,longitude
483,2013,Warrnambool (C),5,375,0.013333333333333334,"Warrnambool, Victoria, Australia",-38.369875,142.486467125823
485,2015,Warrnambool (C),6,344,0.01744186046511628,"Warrnambool, Victoria, Australia",-38.369875,142.486467125823
486,2010,Wellington (S),10,464,0.021551724137931036,"Wellington, Victoria, Australia",-35.3313152,139.3831595
488,2012,Wellington (S),8,518,0.015444015444015444,"Wellington, Victoria, Australia",-35.3313152,139.3831595
489,2013,Wellington (S),6,515,0.011650485436893204,"Wellington, Victoria, Australia",-35.3313152,139.3831595
490,2014,Wellington (S),6,492,0.012195121951219513,"Wellington, Victoria, Australia",-35.3313152,139.3831595
491,2015,Wellington (S),10,494,0.020242914979757085,"Wellington, Victoria, Australia",-35.3313152,139.3831595
498,2010,Whitehorse (C),54,1723,0.03134068485200232,"Whitehorse, Victoria, Australia",-37.8285963,145.156434400288
499,2011,Whitehorse (C),53,1638,0.03235653235653236,"Whitehorse, Victoria, Australia",-37.8285963,145.156434400288
500,2012,Whitehorse (C),66,1750,0.037714285714285714,"Whitehorse, Victoria, Australia",-37.8285963,145.156434400288
501,2013,Whitehorse (C),79,1692,0.0466903073286052,"Whitehorse, Victoria, Australia",-37.8285963,145.156434400288
502,2014,Whitehorse (C),70,1637,0.04276114844227245,"Whitehorse, Victoria, Australia",-37.8285963,145.156434400288
503,2015,Whitehorse (C),66,1590,0.04150943396226415,"Whitehorse, Victoria, Australia",-37.8285963,145.156434400288
504,2010,Whittlesea (C),41,1826,0.022453450164293537,"Whittlesea, Victoria, Australia",-37.5121301,145.1177321
