Year,LGA,Numerator,Denominator,Indicator
2010,Victoria - LBOTE,139,6885,0.02018881626724764
2011,Victoria - LBOTE,126,7219,0.017453940989056657
2012,Victoria - LBOTE,134,7639,0.017541563031810446
2013,Victoria - LBOTE,188,8432,0.022296015180265655
2014,Victoria - LBOTE,184,8804,0.020899591094956836
2015,Victoria - LBOTE,145,9014,0.01608608830707788
2010,Victoria - LBOTE status unknown,14,1736,0.008064516129032258
2011,Victoria - LBOTE status unknown,20,2334,0.00856898029134533
2012,Victoria - LBOTE status unknown,NDP,NDP,NDP
2013,Victoria - LBOTE status unknown,13,2648,0.004909365558912387
2014,Victoria - LBOTE status unknown,5,2602,0.001921598770176787
2015,Victoria - LBOTE status unknown,7,3781,0.0018513620735255223
2010,Victoria - Male,769,28465,0.02701563323379589
2011,Victoria - Male,831,29231,0.028428722931134753
2012,Victoria - Male,858,30013,0.028587612034784927
2013,Victoria - Male,839,31597,0.02655315378042219
2014,Victoria - Male,838,31236,0.026828018952490717
2015,Victoria - Male,762,30368,0.025092202318229714
2010,Victoria - No LBOTE,1189,48361,0.024585926676454168
2011,Victoria - No LBOTE,1228,49417,0.024849748062407674
2012,Victoria - No LBOTE,1286,50983,0.02522409430594512
2013,Victoria - No LBOTE,1187,52855,0.022457667202724435
2014,Victoria - No LBOTE,1193,51984,0.022949369036626654
2015,Victoria - No LBOTE,1134,50513,0.022449666422505097
2010,Victoria - Non-Indigenous,1313,54473,0.0241036843941035
2011,Victoria - Non-Indigenous,1349,56002,0.024088425413378092
2012,Victoria - Non-Indigenous,1398,57423,0.02434564547306828
2013,Victoria - Non-Indigenous,1355,60255,0.022487760351838023
2014,Victoria - Non-Indigenous,1356,59623,0.022742901229391342
2015,Victoria - Non-Indigenous,1259,58269,0.021606686231100587
2010,Wangaratta (RC),5,334,0.014970059880239521
2011,Wangaratta (RC),10,330,0.030303030303030304
2012,Wangaratta (RC),11,330,0.03333333333333333
2013,Wangaratta (RC),5,341,0.01466275659824047
2014,Wangaratta (RC),7,312,0.022435897435897436
2015,Wangaratta (RC),NDP,NDP,NDP
2010,Warrnambool (C),NDP,NDP,NDP
2011,Warrnambool (C),10,396,0.025252525252525252
2012,Warrnambool (C),7,345,0.020289855072463767
2013,Warrnambool (C),5,375,0.013333333333333334
2014,Warrnambool (C),NDP,NDP,NDP
2015,Warrnambool (C),6,344,0.01744186046511628
2010,Wellington (S),10,464,0.021551724137931036
2011,Wellington (S),NDP,NDP,NDP
2012,Wellington (S),8,518,0.015444015444015444
2013,Wellington (S),6,515,0.011650485436893204
2014,Wellington (S),6,492,0.012195121951219513
2015,Wellington (S),10,494,0.020242914979757085
2010,West Wimmera (S),NDP,NDP,NDP
2011,West Wimmera (S),NDP,NDP,NDP
2012,West Wimmera (S),NDP,NDP,NDP
2013,West Wimmera (S),NDP,NDP,NDP
2014,West Wimmera (S),NDP,NDP,NDP
2015,West Wimmera (S),NDP,NDP,NDP
2010,Whitehorse (C),54,1723,0.03134068485200232
2011,Whitehorse (C),53,1638,0.03235653235653236
2012,Whitehorse (C),66,1750,0.037714285714285714
2013,Whitehorse (C),79,1692,0.0466903073286052
2014,Whitehorse (C),70,1637,0.04276114844227245
2015,Whitehorse (C),66,1590,0.04150943396226415
2010,Whittlesea (C),41,1826,0.022453450164293537
2011,Whittlesea (C),56,2005,0.027930174563591023
2012,Whittlesea (C),48,2131,0.02252463632097607
2013,Whittlesea (C),52,2233,0.02328705776981639
2014,Whittlesea (C),55,2203,0.024965955515206535
2015,Whittlesea (C),41,2350,0.017446808510638297
2010,Wodonga (C),10,483,0.020703933747412008
2011,Wodonga (C),9,436,0.020642201834862386
2012,Wodonga (C),14,479,0.029227557411273485
2013,Wodonga (C),7,456,0.015350877192982455
2014,Wodonga (C),7,478,0.014644351464435146
2015,Wodonga (C),6,477,0.012578616352201259
2010,Wyndham (C),36,1908,0.018867924528301886
2011,Wyndham (C),36,2170,0.016589861751152075
2012,Wyndham (C),43,2272,0.018926056338028168
2013,Wyndham (C),41,2662,0.015401953418482344
2014,Wyndham (C),59,3020,0.0195364238410596
2015,Wyndham (C),35,2980,0.01174496644295302
2010,Yarra (C),14,528,0.026515151515151516
2011,Yarra (C),13,506,0.025691699604743084
2012,Yarra (C),20,528,0.03787878787878788
2013,Yarra (C),14,545,0.025688073394495414
2014,Yarra (C),17,537,0.03165735567970205
2015,Yarra (C),14,537,0.0260707635009311
2010,Yarra Ranges (S),46,1744,0.026376146788990827
2011,Yarra Ranges (S),34,1747,0.019461934745277618
2012,Yarra Ranges (S),29,1853,0.015650296815974095
2013,Yarra Ranges (S),32,1807,0.01770890979524073
2014,Yarra Ranges (S),43,1679,0.02561048243001787
2015,Yarra Ranges (S),21,1734,0.012110726643598616
2010,Yarriambiack (S),NDP,NDP,NDP
2011,Yarriambiack (S),NDP,NDP,NDP
2012,Yarriambiack (S),NDP,NDP,NDP
2013,Yarriambiack (S),NDP,NDP,NDP
2014,Yarriambiack (S),NDP,NDP,NDP
2015,Yarriambiack (S),NDP,NDP,NDP
